"description","amount","unit","kCalories","protein","carbohydrates","fat","vitA","vitB1","vitB2","vitB3","vitB5","vitB6","vitB9","vitB12","vitC","vitD","vitE","vitK","choline","calcium","copper","iron","magnesium","manganese","phosphorus","potassium","selenium","sodium","zinc","water","fiber","cholesterol","saturatedFat","monoUnsaturatedFat","polyUnsaturatedFat","glycemicIndex","comments",
"Quinua blanca (Puno)",100,"gr","376.50","13.30","67.1","6.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,120,0,"4.31",0,0,165,0,0,0,"2.50","11.1",0,0,0,0,0,0,0,0,
"Quinua cocida",100,"gr","88.10","2.80","16.3","1.3",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,27,0,"1.60",0,0,61,0,0,0,"0.0","79.0",0,0,0,0,0,0,0,0,
"Quinua",100,"gr","373.00","13.60","66.6","5.8",0,0,0,0,0,0,0,0,"0.50",0,0,0,0,56,0,"7.50",0,0,242,0,0,0,"3.30","11.5",0,0,0,0,0,0,0,0,
"Quinua dulce, blanca (Junín)",100,"gr","383.30","11.10","67.4","7.7",0,0,0,0,0,0,0,0,"2.20",0,0,0,0,93,0,"4.30",0,0,355,0,0,0,"3.30","11.1",0,0,0,0,0,0,0,0,
"Quinua dulce, blanca (Puno)",100,"gr","369.70","11.60","68.9","5.3",0,0,0,0,0,0,0,0,"1.10",0,0,0,0,115,0,"5.30",0,0,226,0,0,0,"3.30","11.2",0,0,0,0,0,0,0,0,
"Quinua dulce, rosada (Junín)",100,"gr","382.40","12.30","67.1","7.2",0,0,0,0,0,0,0,0,"1.10",0,0,0,0,80,0,"4.30",0,0,344,0,0,0,"3.30","11.0",0,0,0,0,0,0,0,0,
"Quinua, harina de",100,"gr","348.20","9.10","72.1","2.6",0,0,0,0,0,0,0,0,"-",0,0,0,0,181,0,"3.70",0,0,61,0,0,0,"0.0","13.7",0,0,0,0,0,0,0,0,
"Quinua, hojuelas de",100,"gr","381.70","8.50","78.6","3.7",0,0,0,0,0,0,0,0,"-",0,0,0,0,114,0,"4.70",0,0,60,0,0,0,"0.0","7.0",0,0,0,0,0,0,0,0,
"Quinua rosada (Puno)",100,"gr","378.00","12.50","67.6","6.4",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,124,0,"5.20",0,0,205,0,0,0,"3.30","10.2",0,0,0,0,0,0,0,0,
"Quinua, semola de",100,"gr","389.50","19.50","53.8","10.7",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,76,0,"3.60",0,0,"0.0",0,0,0,"3.30","12.6",0,0,0,0,0,0,0,0,
"Trigo, harina fortificada con hierro de",100,"gr","365.20","10.50","76.3","2.0",0,0,0,0,0,0,0,0,"1.80",0,0,0,0,36,0,"5.50",0,0,108,0,0,0,"0.70","10.8",0,0,0,0,0,0,0,0,
"Trigo, harina tostada de (Machica)",100,"gr","362.00","7.90","79.9","1.2",0,0,0,0,0,0,0,0,"2.70",0,0,0,0,67,0,"0.90",0,0,300,0,0,0,"0.70","9.0",0,0,0,0,0,0,0,0,
"Trigo, mote de (Sancochado)",100,"gr","163.40","2.50","37.0","0.6",0,0,0,0,0,0,0,0,"0.40",0,0,0,0,38,0,"2.50",0,0,118,0,0,0,"0.0","59.0",0,0,0,0,0,0,0,0,
"Trigo, pelado",100,"gr","350.60","8.40","76.1","1.4",0,0,0,0,0,0,0,0,"-",0,0,0,0,51,0,"4.60",0,0,293,0,0,0,"0.0","12.6",0,0,0,0,0,0,0,0,
"Trigo resbalado cocido",100,"gr","88.30","2.80","18.6","0.3",0,0,0,0,0,0,0,0,"0.70",0,0,0,0,5,0,"0.50",0,0,66,0,0,0,"0.0","77.9",0,0,0,0,0,0,0,0,
"Trigo, semola de",100,"gr","354.70","7.80","78.4","1.1",0,0,0,0,0,0,0,0,"0.00",0,0,0,0,40,0,"0.80",0,0,125,0,0,0,"1.05","12.1",0,0,0,0,0,0,0,0,
